scenario,n,slope,intercept,mae
mean_impute,194,0.6687981813186022,0.09485499435081225,0.31895716492996573
median_impute,194,0.6700059596990228,0.09287989371753587,0.3187018613936474
drop_missing,181,0.6687981813186026,0.14754371883895132,0.2540235057878668
